objgeographyid,objectid,continent,country,region,river,state,county,city,locale,building,locus,notes,township,politicalregion,nation,culturalregion,subregion,primarydisplay,orig_combined
44026,44235,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
44014,44476,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
44033,44478,,USA,,,North Carolina,,Asheville (near),,,,,,,,,,0,country: USA|||state: North Carolina|||city: Asheville (near)
44034,44479,,USA,,,North Carolina,,Asheville (near),,,,,,,,,,0,country: USA|||state: North Carolina|||city: Asheville (near)
44011,44713,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
44020,44744,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
44022,44745,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
44023,45028,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
44025,45029,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
48115,46451,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
44027,46458,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
44029,46459,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
46624,46907,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
48116,47692,,USA,,,North Carolina,,Beria,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Beria
48453,47879,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
34949,48337,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
48449,48505,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
35521,50606,,USA,,,North Carolina,,Durham,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Durham
51638,50892,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
48448,51197,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
50206,52316,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
51200,52658,,USA,,,North Carolina,,,,,,,,,,,,0,country: USA|||state: North Carolina
35872,52755,,USA,,,North Carolina,,Stem,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Stem
38684,56862,,USA,,,North Carolina,,Marshall,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Marshall
38685,56863,,USA,,,North Carolina,,Marshall,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Marshall
38702,56864,,USA,,,North Carolina,,Hot Springs,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Hot Springs
38703,56865,,USA,,,North Carolina,,Hot Springs,,,,,,,,,,0,country: USA|||state: North Carolina|||city: Hot Springs
42114,60757,,USA,,,North Carolina,,Raleigh,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Raleigh
44017,61796,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
44018,61797,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
44031,61798,,USA,,,North Carolina,,Asheville,,,,,,,,,,1,country: USA|||state: North Carolina|||city: Asheville
44032,61799,,USA,,,North Carolina,,Asheville (near),,,,,,,,,,0,country: USA|||state: North Carolina|||city: Asheville (near)
47482,64308,,USA,,,North Carolina,,,,,,,,,,,,1,country: USA|||state: North Carolina
94674,88996,,United States of America,,,North Carolina,,Waynesville,,,,,,,,,,1,country: United States of America|||state: North Carolina|||city: Waynesville
96579,93794,,United States,,,North Carolina,Burke County,Salem,,,,,,,,,,1,country: United States|||state: North Carolina|||county: Burke County|||city: Salem
97337,94478,,United States,,,North Carolina,Wake County,Raleigh,,,,,,,,,,1,country: United States|||state: North Carolina|||county: Wake County|||city: Raleigh
