"ObjGeographyID","ObjectID","GeoCodeID","Continent","SubContinent","Country","Region","River","State","County","City","Locale","Building","Excavation","Locus","Notes","LoginID","EnteredDate","Township","PoliticalRegion","Nation","RegionalCorp","VillageCorporation","CulturalRegion","Longitude","Latitude","UTM","Easting","Northing","Elevation","MapReferenceNumber","SubRegion","Lot","Concession","PrimaryDisplay","KeyFieldsSearchValue","GSRowVersion"
"38697","37915","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Marshall 0.000 0.000","0x000000000538AE7C"
"38704","37916","1",,,"USA",,,"North Carolina",,,,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina 0.000 0.000","0x000000000538AE7D"
"38715","37917","1",,,"USA",,,"North Carolina",,"Spruce Pine",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Spruce Pine 0.000 0.000","0x000000000538AE7E"
"38680","37932","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Marshall 0.000 0.000","0x000000000538AE91"
"38682","37933","1",,,"USA",,,"North Carolina",,"Bakersville",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Bakersville 0.000 0.000","0x000000000538AE93"
"38689","37934","1",,,"USA",,,"North Carolina",,"near Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina near Marshall 0.000 0.000","0x000000000538AE95"
"38691","37935","1",,,"USA",,,"North Carolina",,"Bakersville",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Bakersville 0.000 0.000","0x000000000538AE96"
"38714","37936","1",,,"USA",,,"North Carolina",,"Spruce Pine",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Spruce Pine 0.000 0.000","0x000000000538AE98"
"38681","37958","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"0","USA North Carolina Marshall 0.000 0.000","0x000000000538AEC1"
"38688","37959","1",,,"USA",,,"North Carolina",,"Marshall (near)",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Marshall (near) 0.000 0.000","0x000000000538AEC3"
"38699","37960","1",,,"USA",,,"North Carolina",,"Marshall",,,,,,"Conversion","2012-05-15 00:00:00.000",,,,,,,,,,".000",".000",,,,,,"1","USA North Carolina Marshall 0.000 0.000","0x000000000538AEC4"
